	Word	PoS		FrSp	Ra	DiSp		LogLi	FrWr	Ra	DiWr
	
	'	Gen	:	141	10	0.82	-	3704.0	518	90	0.96
	's	Gen	:	1606	10	0.95	-	29320.9	4945	90	0.97
	1	Num	%	9	6	0.22	-	7560.4	429	90	0.91
	@	@	1	9	6	0.22	-	7542.2	428	90	0.91
	@	@	1s	0	0	0.00	-	18.6	1	28	0.66
	2	Num	%	8	5	0.23	-	6715.5	384	90	0.91
	@	@	2	8	5	0.23	-	6706.3	383	90	0.91
	@	@	2s	0	1	0.00	-	10.9	1	26	0.65
	3	Num	%	6	5	0.22	-	4910.4	279	90	0.92
	@	@	3	6	5	0.22	-	4900.3	279	90	0.92
	@	@	3s	0	0	0.00	-	10.3	1	20	0.71
	4	Num	%	3	3	0.10	-	4059.6	224	90	0.93
	@	@	4	3	3	0.10	-	4049.5	224	90	0.93
	@	@	4s	0	0	0.00	-	10.3	1	24	0.75
	5	Num	%	5	3	0.08	-	3376.6	196	90	0.92
	@	@	5	5	3	0.08	-	3363.4	195	90	0.92
	@	@	5s	0	0	0.00	-	13.6	1	23	0.67	
	10	Num	%	2	3	0.10	-	3850.1	208	90	0.91
	@	@	10	2	3	0.10	-	3823.9	207	90	0.91
	@	@	10s	0	0	0.00	-	26.5	1	35	0.70
	1990	Num	%	6	3	0.25	-	2982.1	178	84	0.73
	@	@	1990	5	3	0.24	-	2774.9	166	81	0.72
	@	@	1990s	0	1	0.00	-	210.1	11	77	0.89
	a	Det	%	18637	10	0.97	-	4991.7	21972	90	0.99
	A / a	Lett	:	424	10	0.82	+	911.3	250	90	0.93
	a bit	Adv	:	496	10	0.87	+	8543.9	75	89	0.91
	able	Adj	:	339	10	0.90	+	45.9	300	90	0.97
	about	Adv	:	730	10	0.93	+	1785.4	414	90	0.98
	about	Prep	:	2730	10	0.95	+	9185.9	1384	90	0.96
	absolutely	Adv	:	183	10	0.92	+	2104.8	44	90	0.94
	accept	Verb	%	143	10	0.76	-	218.1	209	90	0.96
	@	@	accept	94	10	0.76	-	2.2	99	90	0.94
	@	@	accepted	37	10	0.72	-	320.6	84	90	0.96
	@	@	accepting	9	8	0.76	-	53.8	18	90	0.95
	@	@	accepts	4	9	0.74	-	27.6	9	81	0.92
	according to	Prep	:	37	10	0.89	-	1478.9	171	90	0.93
	account	NoC	%	102	10	0.75	-	656.5	211	90	0.93
	@	@	account	72	10	0.76	-	403.8	142	90	0.93
	@	@	accounts	30	10	0.70	-	256.5	69	90	0.88
	achieve	Verb	%	72	10	0.70	-	790.6	180	90	0.94
	@	@	achieve	39	9	0.69	-	160.3	71	90	0.94
	@	@	achieved	24	10	0.70	-	590.0	86	90	0.94
	@	@	achieves	1	6	0.65	-	22.8	4	68	0.91
	@	@	achieving	8	8	0.67	-	87.1	20	89	0.93
	across	Prep	:	173	10	0.93	-	108.6	222	90	0.95
	act	NoC	%	65	10	0.75	-	2154.8	269	90	0.88
	@	@	act	56	10	0.75	-	1876.8	234	90	0.87
	@	@	acts	9	10	0.75	-	278.0	35	90	0.92
	action	NoC	%	98	10	0.74	-	1617.9	289	90	0.94
	@	@	action	88	10	0.73	-	1170.0	236	90	0.94
	@	@	actions	10	10	0.74	-	493.4	53	90	0.93
	activity	NoC	%	64	10	0.75	-	1901.8	250	90	0.92
	@	@	activities	29	9	0.71	-	1031.4	126	90	0.93
	@	@	activity	35	10	0.77	-	875.0	124	90	0.90
	actually	Adv	:	1239	10	0.89	+	25097.6	147	90	0.97
	add	Verb	%	155	10	0.81	-	707.8	289	90	0.96
