	Word	PoS	FrSp		LogLike	FrWr

	er	Uncl	8542	+	390869.9	11
	you	Pron	25957	+	385328.3	4755
	's	Verb	17677	+	384464.6	1848
	I	Pron	29448	+	369238.5	6494
	yeah	Int	7890	+	356172.5	17
	erm	Uncl	6029	+	281015.6	2
	that	DetP	14252	+	213613.5	2581
	n't	Neg	12212	+	177089.3	2300
	oh	Int	5052	+	166592.5	179
	it	Pron	24508	+	151913.5	9298
	mm	Int	3163	+	146051.7	3
	no	Int	4388	+	128715.5	230
	do	Verb	9594	+	126017.2	2016
	got	Verb	5025	+	117320.3	459
	've	Verb	4735	+	108766.4	446
	yes	Int	3840	+	107268.2	231
	well	Adv	5310	+	107026.4	634
	we	Pron	10448	+	106914.5	2784
	know	Verb	5550	+	104930.3	734
	the	Det	39605	-	104720.4	64420
	of*	Prep	14550	-	104519.3	31109
	're	Verb	4255	+	93216.8	439
	what	DetP	7313	+	75414.2	1936
	think	Verb	3977	+	71946.0	562
	cos*	Conj	1535	+	68811.4	4
	right	Adv	2209	+	62243.5	130
	~na*	Inf	1376	+	58868.4	8
	'll	VMod	3066	+	53585.0	455
	mean	Verb	2250	+	53431.1	198
	they	Pron	9333	+	52132.8	3754
	gon~	Verb	1154	+	49873.1	6
	get	Verb	3464	+	46650.2	709
	there	Adv	2894	+	45269.5	498
	so	Adv	5067	+	44484.3	1526
	just	Adv	3820	+	40726.6	982
	okay*	Adv	950	+	40074.6	7
	'm	Verb	2512	+	38492.4	443
	go	Verb	2885	+	35449.6	649
	by	Prep	1663	-	35309.0	5493
	mhm	Int	722	+	33831.8	0
	like	Adv	784	+	32469.1	7
	in	Prep	11609	-	31394.0	18978
	his	Det	1333	-	31332.3	4627
	's	Gen	1606	-	29320.9	4945
	going*	Verb	2174	+	27109.0	482
	actually	Adv	1239	+	25097.6	147
	really	Adv	1727	+	24300.2	337
	say	Verb	2116	+	24125.8	512
	twenty	Num	925	+	23929.7	67
	hundred	NoC	1023	+	23691.2	95
	did	Verb	3368	+	22872.6	1210
	ah	Int	712	+	22842.8	28
	one	Pron	2532	+	21938.2	770
	want	Verb	1776	+	20109.9	432
	then	Adv	3474	+	19911.6	1378
	ca~	VMod	1248	+	19835.7	210
	if	Conj	4544	+	18764.4	2118
	ooh	Int	424	+	18553.9	2
	alright*	Adv	408	+	18179.5	1
	sort of	Adv	472	+	17161.9	11
	its	Det	338	-	17017.0	1782
	her*	Det	644	-	16899.4	2362
	lot*	NoC	992	+	16309.2	160
	have*	Verb	7488	+	16057.1	4416
	five	Num	1308	+	15609.6	303
	alright*	Adj	366	+	15498.1	3
	'd	VMod	1194	+	15417.8	256
	put	Verb	1640	+	15152.7	475
	aye	Int	414	+	15007.0	10
	used	VMod	742	+	15000.9	88
	~n~*	Neg	367	+	14924.2	4
	now	Adv	2864	+	14540.7	1211
	your	Det	2859	+	14438.1	1212
	because*	Conj	2039	+	14376.4	715
	~ta*	Inf	326	+	13786.2	2
	fifty	Num	519	+	13755.2	36
	thing	NoC	1136	+	13670.5	261
	on	Adv	1849	+	13638.6	630
	come	Verb	1737	+	13389.7	574
	see	Verb	2507	+	13371.6	1033
	nineteen	Num	370	+	12972.5	10
	thirty	Num	520	+	12743.0	43
	from	Prep	2178	-	12708.7	4360
	ninety	Num	342	+	12638.6	7
	bit*	NoC	635	+	12403.1	80
	thank	Verb	595	+	12397.0	67
	like	Verb	1070	+	12162.3	260
	doing	Verb	943	+	12144.6	202
	nice	Adj	603	+	11893.6	74
	very	Adv	2373	+	11530.6	1025
	pounds	NoC	572	+	11301.3	71
	here	Adv	1640	+	11087.8	590
	thousand	NoC	516	+	10998.7	56
	them	Pron	3126	+	10733.0	1572
	eighty	Num	296	+	10313.7	8
	right	Adj	1019	+	10192.7	277
	aha	Int	237	+	10125.7	1
	an	Det	1846	-	10000.3	3613
	four	Num	1199	+	9982.0	376
	sort	NoC	712	+	9947.3	140
	somebody	Pron	409	+	9932.6	34
	forty	Num	388	+	9928.3	29
	as well	Adv	516	+	9892.1	67
	nine	Num	571	+	9860.8	86
	me*	Det	219	+	9843.4	1
	three	Num	1721	+	9654.5	691
	as	Conj	1558	-	9631.4	3174
	does	Verb	1549	+	9615.6	587
	something	Pron	1290	+	9584.5	437
	their	Det	1284	-	9386.0	2761
	wan~	Verb	231	+	9356.2	3
	look	Verb	1123	+	9310.3	353
	there	Ex	4067	+	9288.2	2354
	about	Prep	2730	+	9185.9	1384
	things	NoC	1103	+	9183.8	346
	with	Prep	4446	-	8896.2	6821
	sixty	Num	294	+	8781.8	15
	a bit	Adv	496	+	8543.9	75
	in	Verb	191	+	8530.9	1
	anyway	Adv	503	+	8512.4	78
	six	Num	863	+	8443.7	239
	quite	Adv	1050	+	8435.6	338
	percent*	NoC	233	+	8355.1	6
	mum	NoC	410	+	8323.7	48
	in	Adv	1307	+	8310.9	488
	me	Pron	2444	+	8239.6	1239
	eight	Num	606	+	8237.0	123
	two	Num	2710	+	8229.4	1428
	which	DetP	2208	-	8187.5	3893
	let's	VMod	401	+	8097.9	48
	where	Adv	1380	+	8075.1	541
	done	Verb	931	+	7898.7	288
	to	Prep	6950	-	7715.3	9620
	had	Verb	2835	-	7697.6	4639
	however	Adv	90	-	7648.4	664
	1	Num	9	-	7542.2	428
	pound	NoC	327	+	7521.7	31
	of*	Verb	162	+	7351.6	0
	but	Conj	6366	+	7310.7	4370
	wo~	VMod	552	+	7229.2	116
	how	Adv	1888	+	7106.1	915
	ha	Int	220	+	7090.3	8
	for	Prep	6239	-	7070.6	8664
	though	Adv	410	+	7013.8	63
	good	Adj	1566	+	6955.6	706
	seven	Num	565	+	6896.1	128
	P / p	Lett	359	+	6865.2	47
	saying	Verb	577	+	6836.4	135
	ten	Num	616	+	6735.9	155
	2	Num	8	-	6706.3	383
	up	Adv	2891	+	6666.5	1668
	can	VMod	3588	+	6572.3	2211
	goes	Verb	503	+	6537.7	107
	sorry	Adj	431	+	6473.3	78
	why	Adv	1113	+	6453.4	439
	seventy	Num	204	+	6319.9	9
	du~*	Verb	165	+	6150.0	3
	all	DetP	3644	+	6115.9	2297
	such	DetP	225	-	5912.7	825
	one	Num	3034	+	5910.9	1839
	ai~*	Verb	221	+	5909.5	15
	bye	Int	148	+	5794.1	2
	O / o	Lett	245	+	5747.6	22
	as	Prep	916	-	5727.7	1873
	eh	Int	211	+	5626.6	14
	no	Verb	152	+	5602.5	3
	hello	Int	220	+	5546.5	17
	also	Adv	556	-	5482.9	1328
	may	VMod	480	-	5470.7	1211
	talking	Verb	428	+	5463.6	93
	M / m	Lett	242	+	5455.1	24
	people	NoC	2063	+	5371.8	1146
	anybody	Pron	249	+	5359.7	26
	between	Prep	338	-	5239.2	968
	has	Verb	1598	-	5051.0	2708
	coming	Verb	522	+	5045.2	146
	a	Det	18637	-	4992.3	21972
	bloody	Adj	247	+	4983.3	30
	3	Num	6	-	4900.3	279
	though	Conj	5	-	4885.8	273
	C / c	Lett	431	+	4884.8	105
	everybody	Pron	267	+	4882.7	37
	twelve	Num	278	+	4881.9	41
	yo	Uncl	103	+	4822.3	0
	yep	Int	117	+	4760.8	1
	getting	Verb	539	+	4647.3	165
	more	Adv	624	-	4646.0	1351
	remember	Verb	513	+	4528.0	154
	like	Prep	1762	+	4525.3	983
