	Word	PoS		FrCo	Ra	DiDe		LogLike	FrTO	Ra	DiCG

	'	Gen	:	74	4	0.92	-	250.3	188	6	0.85
	's	Gen	:	1604	4	0.98	-	0.0	1608	6	0.91
	a	Det	%	17056	4	0.98	-	962.3	19719	6	0.98
	@	@	a	17055	4	0.98	-	962.3	19719	6	0.98
	A / a	Lett	%	252	4	0.82	-	532.4	542	6	0.82
	@	@	a	235	4	0.82	-	541.2	521	6	0.82
	@	@	a.	16	4	0.81	-	3.0	21	6	0.76
	a	Uncl	:	158	4	0.88	-	54.6	222	6	0.76
	a bit	Adv	:	711	4	0.96	+	647.4	349	6	0.89
	able	Adj	:	226	4	0.96	-	283.0	417	6	0.93
	about	Adv	:	842	4	0.96	+	118.6	654	6	0.89
	about	Prep	:	2274	4	0.97	-	552.1	3042	6	0.98
	absolutely	Adv	:	161	4	0.92	-	19.6	198	6	0.88
	accept	Verb	%	36	4	0.87	-	681.6	217	6	0.84
	@	@	accept	26	4	0.88	-	407.0	140	6	0.84
	@	@	accepted	7	4	0.85	-	204.9	57	6	0.79
	@	@	accepting	1	2	0.36	-	57.0	14	6	0.93
	@	@	accepts	1	3	0.50	-	17.7	6	6	0.79
	account	NoC	%	30	4	0.95	-	425.1	152	6	0.81
	@	@	account	22	4	0.87	-	287.1	106	6	0.83
	@	@	accounts	8	4	0.80	-	138.6	46	6	0.74
	across	Prep	:	135	4	0.94	-	61.9	199	6	0.93
	action	NoC	%	21	4	0.79	-	525.9	151	6	0.83
	@	@	action	18	4	0.72	-	489.3	136	6	0.81
	@	@	actions	3	4	0.47	-	39.1	15	6	0.79
	actual	Adj	:	56	4	0.94	-	215.9	150	6	0.93
	actually	Adv	:	790	4	0.90	-	1221.8	1546	6	0.95
	add	Verb	%	66	4	0.90	-	406.0	216	6	0.86
	@	@	add	45	4	0.90	-	287.5	150	6	0.83
	@	@	added	12	4	0.87	-	60.4	35	6	0.81
	@	@	adding	6	4	0.62	-	51.2	22	6	0.78
	@	@	adds	3	4	0.70	-	9.0	8	6	0.83
	after	Conj	:	121	4	0.94	-	1.6	130	6	0.90
	after	Prep	:	453	4	0.95	-	99.8	598	6	0.93
	afternoon	NoC	%	174	4	0.91	+	19.1	140	6	0.85
	@	@	afternoon	167	4	0.92	+	15.7	136	6	0.84
	@	@	afternoons	8	4	0.85	+	6.2	4	6	0.76
	again	Adv	:	839	4	0.97	+	0.0	835	6	0.93
	against	Prep	:	79	4	0.95	-	1028.8	379	6	0.84
	age	NoC	%	194	4	0.96	+	21.4	155	6	0.94
	@	@	age	109	4	0.97	-	12.7	134	6	0.94
	@	@	ages	85	4	0.87	+	210.5	21	6	0.89
	ago	Adv	:	233	4	0.92	-	19.4	277	6	0.92
	agree	Verb	%	63	4	0.89	-	1108.0	361	6	0.85
	@	@	agree	47	4	0.90	-	534.5	210	6	0.88
	@	@	agreed	11	4	0.88	-	585.3	135	6	0.78
	@	@	agreeing	2	4	0.79	-	19.4	8	6	0.75
	@	@	agrees	2	4	0.52	-	14.1	8	6	0.83
	ah	Int	:	1394	4	0.91	+	4663.1	246	6	0.80
	aha	Int	:	270	4	0.89	+	34.2	213	6	0.59
	ai~*	Verb	:	500	4	0.85	+	2697.7	30	6	0.76
	all	Adv	:	273	4	0.96	+	58.9	199	6	0.95
	all	DetP	:	4027	4	0.96	+	282.1	3383	6	0.97
	allow	Verb	%	128	4	0.93	-	117.7	219	6	0.93
	@	@	allow	15	4	0.76	-	223.1	79	6	0.86
	@	@	allowed	108	4	0.91	+	0.6	103	6	0.96
	@	@	allowing	2	4	0.89	-	61.8	17	6	0.82
	@	@	allows	3	4	0.64	-	72.3	21	6	0.90
	almost	Adv	:	54	4	0.92	-	276.9	162	6	0.89
	along	Adv	:	103	4	0.95	-	14.0	128	6	0.92
	already	Adv	:	190	4	0.93	-	164.7	319	6	0.89
	alright*	Adj	:	714	4	0.95	+	2355.2	129	6	0.84
	alright*	Adv	:	703	4	0.96	+	1493.8	206	6	0.81
	also	Adv	:	160	4	0.90	-	2370.4	827	6	0.91
	although	Conj	:	66	4	0.89	-	442.1	224	6	0.92
	always	Adv	:	670	4	0.98	+	62.9	547	6	0.90
	amount	NoC	%	66	4	0.93	-	367.0	206	6	0.96
	@	@	amount	63	4	0.93	-	321.3	190	6	0.95
	@	@	amounts	3	4	0.81	-	50.2	17	6	0.83
	an	Det	:	1149	4	0.95	-	1985.6	2323	6	0.96
	and	Conj	:	21569	4	0.98	-	3800.6	27701	6	0.97
	and so on	Adv	:	18	4	0.93	-	455.5	130	6	0.82
	another	DetP	:	639	4	0.95	-	0.0	640	6	0.95
	answer	NoC	%	75	4	0.83	-	277.7	198	6	0.94
	@	@	answer	54	4	0.82	-	284.2	164	6	0.92
	@	@	answers	22	4	0.80	-	13.7	34	6	0.92
	answer	Verb	%	41	4	0.84	-	210.8	124	6	0.88
	@	@	answer	23	4	0.89	-	180.7	85	6	0.86
	@	@	answered	14	4	0.78	-	11.3	23	6	0.83
	@	@	answering	1	4	0.67	-	34.9	10	6	0.83
	@	@	answers	3	3	0.62	-	6.6	7	6	0.76
	any	DetP	:	1223	4	0.98	-	332.9	1662	6	0.94
	anybody	Pron	:	201	4	0.95	-	65.5	281	6	0.93
	anyone	Pron	:	96	4	0.74	-	29.2	132	6	0.94
	anything	Pron	:	710	4	0.96	+	65.2	581	6	0.90
	anyway	Adv	:	785	4	0.97	+	1094.7	311	6	0.87
	application	NoC	%	6	4	0.77	-	714.2	141	6	0.79
	@	@	application	6	4	0.72	-	454.7	96	6	0.81
	@	@	applications	1	2	0.36	-	266.1	46	6	0.71
	apply	Verb	%	30	4	0.85	-	318.5	130	6	0.89
	@	@	applied	10	4	0.78	-	38.7	27	6	0.90
	@	@	applies	3	4	0.73	-	71.4	20	6	0.88
	@	@	apply	12	4	0.86	-	208.9	69	6	0.86
	@	@	applying	5	4	0.75	-	17.4	13	6	0.77
	area	NoC	%	133	4	0.80	-	2269.1	748	6	0.89
	@	@	area	112	4	0.81	-	1393.8	524	6	0.89
	@	@	areas	21	4	0.72	-	928.2	225	6	0.87
	around	Adv	:	219	4	0.91	+	18.5	180	6	0.94
	around	Prep	:	84	4	0.91	-	157.2	173	6	0.89
	as	Adv	:	385	4	0.97	-	215.5	590	6	0.97
	as	Conj	:	851	4	0.97	-	2457.1	2040	6	0.97
	as	Prep	:	298	4	0.97	-	3439.4	1339	6	0.95
	as well	Adv	:	657	4	0.96	+	267.5	420	6	0.92
	ask	Verb	%	602	4	0.95	-	192.4	838	6	0.94
	@	@	ask	339	4	0.94	-	65.2	440	6	0.92
	@	@	asked	179	4	0.97	-	50.3	244	6	0.95
	@	@	asking	74	4	0.88	-	88.0	135	6	0.97
	@	@	asks	9	4	0.80	-	13.6	18	6	0.94
	at	Prep	:	3274	4	0.96	-	1253.9	4691	6	0.96
	at all	Adv	:	241	4	0.95	-	22.3	290	6	0.93
	at least	Adv	:	147	4	0.97	-	13.7	177	6	0.90
