	Word	PoS		FrIm	Ra	DiIm		LL    	FrIn	Ra	DiIn

	&	Conj	:	13	19	0.75	-	4461.7	187	71	0.93
	'	Gen	:	225	19	0.94	-	4628.6	594	71	0.97
	's	Gen	:	4694	19	0.98	-	300.3	5010	71	0.97
	1	Num	%	37	19	0.70	-	12695.1	530	71	0.92
	@	@	1	37	19	0.70	-	12680.3	529	71	0.92
	@	@	1s	0	2	0.22	-	17.7	1	26	0.65
	2	Num	%	27	19	0.65	-	11992.0	477	71	0.93
	@	@	2	27	19	0.65	-	11964.1	476	71	0.93
	@	@	2s	0	1	0.00	-	27.9	1	25	0.65
	3	Num	%	23	19	0.73	-	8363.1	345	71	0.94
	@	@	3	23	19	0.73	-	8353.8	345	71	0.94
	@	@	3s	0	1	0.00	-	10.5	1	19	0.70
	4	Num	%	20	19	0.76	-	6618.7	277	71	0.94
	@	@	4	20	19	0.76	-	6598.8	277	71	0.94
	@	@	4s	0	0	0.00	-	21.6	1	24	0.76
	5	Num	%	19	19	0.74	-	5592.0	242	71	0.94
	@	@	5	19	19	0.74	-	5566.0	241	71	0.94
	@	@	5s	0	0	0.00	-	28.5	1	23	0.68
	10	Num	%	12	19	0.85	-	6786.0	259	71	0.93
	@	@	10	12	19	0.85	-	6739.3	257	71	0.93
	@	@	10s	0	1	0.00	-	46.8	2	34	0.71
	1989	Num	:	1	9	0.70	-	5871.5	187	71	0.71
	1990	Num	%	2	13	0.75	-	6995.3	223	71	0.74
	@	@	1990	1	10	0.72	-	6614.8	209	71	0.72
	@	@	1990s	0	6	0.62	-	393.7	14	71	0.90
	a	Det	:	21722	19	0.99	-	66.0	22037	71	0.99
	A / a	Lett	%	73	19	0.91	-	3764.0	296	71	0.94
	@	@	a	73	19	0.91	-	3760.6	296	71	0.94
	@	@	a.	0	0	0.00	-	4.6	0	8	0.64
	a bit	Adv	:	185	19	0.93	+	3011.0	46	70	0.92
	a little	Adv	:	263	19	0.94	+	4090.1	69	71	0.94
	able	Adj	:	259	19	0.97	-	133.2	310	71	0.97
	about	Adv	:	469	19	0.97	+	163.5	400	71	0.97
	about	Prep	:	2170	19	0.97	+	9242.0	1181	71	0.97
	above	Prep	:	199	19	0.97	+	399.9	134	71	0.97
	accept	Verb	%	135	19	0.95	-	682.7	228	71	0.96
	@	@	accept	66	19	0.94	-	270.9	107	71	0.94
	@	@	accepted	56	19	0.95	-	237.9	91	71	0.96
	@	@	accepting	11	19	0.90	-	66.7	20	71	0.95
	@	@	accepts	1	11	0.75	-	207.7	11	70	0.93
	according to	Prep	:	40	19	0.94	-	3140.2	205	71	0.94
	account	NoC	%	64	19	0.94	-	3054.3	249	71	0.93
	@	@	account	45	19	0.93	-	1981.0	167	71	0.94
	@	@	accounts	19	19	0.92	-	1077.0	81	71	0.88
	achieve	Verb	%	33	19	0.95	-	3904.0	218	71	0.97
	@	@	achieve	13	19	0.93	-	1514.7	86	71	0.96
	@	@	achieved	17	19	0.92	-	1764.4	103	71	0.96
	@	@	achieves	0	2	0.27	-	126.3	5	66	0.92
	@	@	achieving	2	18	0.85	-	519.8	24	71	0.95
	across	Prep	:	434	19	0.97	+	3969.6	167	71	0.97
	act	NoC	%	75	19	0.81	-	4240.5	319	71	0.88
	@	@	act	68	19	0.79	-	3563.4	277	71	0.87
	@	@	acts	7	19	0.87	-	690.5	42	71	0.93
	action	NoC	%	76	19	0.95	-	4783.7	344	71	0.96
	@	@	action	62	19	0.95	-	3935.6	281	71	0.95
	@	@	actions	14	19	0.89	-	848.5	63	71	0.94
	activity	NoC	%	37	19	0.95	-	6030.6	305	71	0.94
	@	@	activities	16	19	0.93	-	3223.6	154	71	0.95
	@	@	activity	21	19	0.94	-	2818.4	151	71	0.91
	add	Verb	%	245	19	0.93	-	158.4	300	71	0.95
	@	@	add	34	19	0.94	-	722.2	91	71	0.93
	@	@	added	185	19	0.92	+	163.7	143	71	0.93
	@	@	adding	23	19	0.92	-	91.1	36	71	0.94
	@	@	adds	3	16	0.79	-	622.6	29	71	0.92
	afraid	Adj	:	195	19	0.94	+	5389.4	25	71	0.92
	after	Conj	:	231	19	0.98	-	19.0	249	71	0.95
	after	Prep	:	983	19	0.98	+	2.8	969	71	0.95
	again	Adv	:	1193	19	0.97	+	15754.9	357	71	0.97
	against	Prep	:	579	19	0.97	-	12.5	602	71	0.96
	age	NoC	%	156	19	0.95	-	1101.0	288	71	0.94
	@	@	age	129	19	0.95	-	1105.2	251	71	0.93
	@	@	ages	27	19	0.91	-	40.4	37	70	0.93
	ago	Adv	:	217	19	0.97	+	79.3	184	71	0.91
	agree	Verb	%	213	19	0.96	-	52.7	241	71	0.91
	@	@	agree	64	19	0.95	-	37.3	77	71	0.84
	@	@	agreed	139	19	0.94	-	1.7	143	71	0.89
	@	@	agreeing	6	19	0.88	-	13.6	9	71	0.93
	@	@	agrees	3	18	0.86	-	133.1	12	70	0.88
	agreement	NoC	%	25	19	0.92	-	4216.3	211	71	0.85
	@	@	agreement	24	19	0.92	-	3246.1	174	71	0.84
	@	@	agreements	1	9	0.72	-	1058.5	36	71	0.86
	air	NoC	%	305	19	0.97	+	1066.8	177	71	0.93
	@	@	air	302	19	0.97	+	1051.9	175	71	0.93
	@	@	airs	2	16	0.82	+	16.5	1	31	0.73
	all	Adv	:	339	19	0.97	+	2397.1	150	71	0.96
	all	DetP	:	2807	19	0.98	+	2502.6	2165	71	0.98
	all right*	Adv	:	266	19	0.96	+	11203.3	11	68	0.90
	allow	Verb	%	203	19	0.96	-	1824.7	401	71	0.95
	@	@	allow	61	19	0.94	-	812.5	137	71	0.97
	@	@	allowed	115	19	0.96	-	177.4	156	71	0.88
	@	@	allowing	24	19	0.93	-	307.9	53	71	0.96
	@	@	allows	3	19	0.88	-	1400.7	55	71	0.92
	almost	Adv	:	506	19	0.97	+	1731.1	295	71	0.97
	along	Prep	:	214	19	0.96	+	1147.8	107	71	0.95
	already	Adv	:	379	19	0.97	+	47.5	345	71	0.98
	also	Adv	:	352	19	0.96	-	21968.0	1581	71	0.98
	although	Conj	:	251	19	0.95	-	2709.3	524	71	0.97
	always	Adv	:	678	19	0.97	+	2511.2	386	71	0.96
	American	Adj	:	59	19	0.90	-	2070.9	197	71	0.92
	among	Prep	:	132	19	0.95	-	1539.4	283	71	0.97
	amount	NoC	%	40	19	0.95	-	3217.4	208	71	0.87
	@	@	amount	37	19	0.95	-	2535.3	176	71	0.85
	@	@	amounts	3	19	0.85	-	732.4	32	71	0.94
	an	Det	:	2516	19	0.98	-	8424.9	3897	71	0.99
	analysis	NoC	%	9	19	0.88	-	5139.3	195	71	0.91
	@	@	analyses	0	9	0.75	-	404.2	15	66	0.88
	@	@	analysis	8	19	0.88	-	4736.0	180	71	0.91
	and	Conj	:	26345	19	0.99	-	374.3	27173	71	0.99
	another	DetP	:	649	19	0.98	+	219.7	555	71	0.98
	answer	Verb	%	225	19	0.95	+	2704.3	73	71	0.93
	@	@	answer	94	19	0.94	+	682.2	41	71	0.90
	@	@	answered	116	19	0.93	+	2570.8	20	71	0.94
	@	@	answering	13	19	0.93	+	69.2	6	71	0.94
	@	@	answers	3	16	0.83	-	12.0	5	66	0.92
	any	DetP	:	1080	19	0.98	-	236.6	1217	71	0.95
	anyone	Pron	:	266	19	0.97	+	1677.0	124	71	0.94
	anything	Pron	:	585	19	0.96	+	8591.7	161	71	0.96
	anyway	Adv	:	236	19	0.96	+	5692.0	37	71	0.93
	appear	Verb	%	248	19	0.97	-	543.5	356	71	0.98
	@	@	appear	55	19	0.96	-	948.7	135	71	0.96
	@	@	appeared	166	19	0.96	+	434.0	104	71	0.96
	@	@	appearing	12	19	0.94	-	22.1	16	71	0.95
	@	@	appears	16	19	0.92	-	1733.3	100	71	0.96
	application	NoC	%	29	19	0.31	-	3904.6	209	71	0.85
	@	@	application	24	19	0.31	-	1946.5	126	71	0.88
	@	@	applications	5	12	0.30	-	2098.4	83	71	0.77
	apply	Verb	%	41	19	0.81	-	4197.6	248	71	0.92
	@	@	applied	16	19	0.91	-	1337.5	86	71	0.95
	@	@	applies	4	16	0.49	-	762.4	36	71	0.87
	@	@	apply	16	19	0.74	-	1747.4	101	71	0.90
	@	@	applying	5	19	0.88	-	375.7	25	71	0.94
	approach	NoC	%	29	19	0.95	-	4343.9	225	71	0.94
	@	@	approach	27	19	0.95	-	3483.6	190	71	0.94
	@	@	approaches	2	16	0.78	-	897.6	36	71	0.91
	April	NoP	%	21	19	0.84	-	4084.6	195	71	0.84
	@	@	April	21	19	0.84	-	4084.2	195	71	0.84
	area	NoC	%	113	19	0.94	-	12582.1	719	71	0.94
	@	@	area	98	19	0.93	-	5515.1	416	71	0.92
	@	@	areas	15	19	0.92	-	7873.6	303	71	0.94
	argue	Verb	%	59	19	0.95	-	1821.6	185	71	0.94
	@	@	argue	24	19	0.94	-	255.5	50	70	0.94
	@	@	argued	16	19	0.93	-	1321.5	85	71	0.93
	@	@	argues	1	9	0.72	-	938.2	32	70	0.90
	@	@	arguing	18	19	0.92	+	0.0	18	71	0.94
	arm	NoC	%	575	19	0.95	+	10771.6	125	71	0.92
	@	@	arm	278	19	0.96	+	6001.2	51	71	0.86
	@	@	arms	297	19	0.94	+	4878.3	74	71	0.92
	around	Adv	:	318	19	0.96	+	972.3	192	71	0.95
	around	Prep	:	382	19	0.96	+	1475.9	215	71	0.96
	arrive	Verb	%	227	19	0.97	+	761.1	133	71	0.96
	@	@	arrive	34	19	0.95	+	6.7	30	71	0.95
	@	@	arrived	166	19	0.96	+	1034.0	78	71	0.95
	@	@	arrives	7	19	0.86	-	15.2	10	71	0.94
	@	@	arriving	20	19	0.94	+	19.3	16	71	0.95
	art	NoC	%	67	19	0.92	-	3290.0	264	71	0.85
	@	@	art	55	19	0.90	-	2223.4	195	71	0.82
	@	@	arts	12	19	0.89	-	1104.3	68	71	0.88
	as	Adv	:	715	19	0.98	+	765.8	537	71	0.98
	as	Conj	:	3587	19	0.97	+	1213.1	3067	71	0.98
	as	Prep	:	791	19	0.98	-	17621.8	2154	71	0.98
	as if	Conj	:	555	19	0.96	+	15781.1	67	71	0.94
	as well as	Prep	:	63	19	0.93	-	2480.9	222	71	0.97
	ask	Verb	%	1352	19	0.98	+	18182.5	399	71	0.95
	@	@	ask	322	19	0.98	+	2686.6	131	71	0.90
	@	@	asked	908	19	0.97	+	16581.0	202	71	0.96
	@	@	asking	94	19	0.95	+	500.0	47	71	0.96
	@	@	asks	27	19	0.71	+	42.9	19	71	0.94
	at	Prep	:	5572	19	0.99	+	2286.3	4685	71	0.97
	at all	Adv	:	256	19	0.95	+	2200.4	102	71	0.96
	at least	Adv	:	252	19	0.97	-	22.4	272	71	0.98
	authority	NoC	%	46	19	0.91	-	8142.1	400	71	0.93
	@	@	authorities	11	19	0.84	-	4067.5	169	71	0.92
	@	@	authority	34	19	0.91	-	4179.4	231	71	0.92
	available	Adj	:	32	19	0.92	-	7947.0	358	71	0.95
	award	NoC	%	4	18	0.81	-	7035.9	235	71	0.36
	@	@	award	3	18	0.82	-	6192.9	205	71	0.27
	@	@	awards	1	8	0.64	-	851.4	31	70	0.84
	away	Adv	:	915	19	0.98	+	15449.8	221	71	0.94
	away from	Prep	:	246	19	0.95	+	2325.5	93	71	0.96
	B / b	Lett	:	18	19	0.73	-	4298.9	195	71	0.91
	back	Adv	:	1824	19	0.98	+	29081.1	465	71	0.94
	back	NoC	%	447	19	0.97	+	5503.3	141	71	0.93
	@	@	back	429	19	0.97	+	5544.8	131	71	0.93
	@	@	backs	18	19	0.93	+	59.7	11	69	0.91
	bad	Adj	%	384	19	0.98	+	1543.0	213	71	0.95
	@	@	bad	228	19	0.97	+	1250.2	113	71	0.95
	@	@	worse	104	19	0.97	+	497.2	54	71	0.92
	@	@	worst	52	19	0.96	+	11.8	46	71	0.94
	bank	NoC	%	120	19	0.91	-	1827.5	282	71	0.89
	@	@	bank	96	19	0.90	-	1006.0	198	71	0.90
	@	@	banks	24	19	0.89	-	912.6	84	71	0.86
	base	Verb	%	16	19	0.93	-	6291.9	256	71	0.96	
	@	@	base	1	13	0.79	-	91.3	6	70	0.94
	@	@	based	14	19	0.93	-	6157.9	246	71	0.96
	@	@	bases	0	2	0.31	-	19.5	1	44	0.87
	@	@	basing	0	2	0.22	-	45.8	2	61	0.91
basis	NoC	:	14#	19#	0.90	-	4362.7&&	188#	71	0.95
@	@	basis	14	19	0.90	-	4362.7	186	7l 	0.95
@	@	bases	0#	10#	0.75#	-	&&	2	69#	0.87
	be*	Verb	%	41719	19	0.99	+	748.4	40274	71	0.99
	@	@	'm	1526	19	0.96	+	46376.6	163	71	0.90
	@	@	're	1303	19	0.96	+	30433.0	215	71	0.87
	@	@	's	4413	19	0.97	+	76773.2	1034	71	0.88
	@	@	am	468	19	0.94	+	3746.3	194	71	0.87
	@	@	are	2062	19	0.98	-	41680.0	5398	71	0.97
	@	@	be	4944	19	0.99	-	12000.9	7208	71	0.98
	@	@	been	2977	19	0.98	+	402.4	2699	71	0.98
	@	@	being	669	19	0.98	-	1342.2	945	71	0.98
	@	@	is	4078	19	0.97	-	98451.5	11484	71	0.97
	@	@	was	15782	19	0.99	+	89362.9	7707	71	0.97
	@	@	were	3498	19	0.97	+	322.9	3226	71	0.97
	because*	Conj	:	783	19	0.97	+	147.0	697	71	0.97
	because of	Prep	:	96	19	0.96	-	1087.9	204	71	0.98
	become	Verb	%	422	19	0.97	-	3400.2	807	71	0.97
	@	@	became	177	19	0.97	-	463.8	261	71	0.93
	@	@	become	181	19	0.96	-	1723.1	364	71	0.97
	@	@	becomes	15	19	0.93	-	1761.4	99	71	0.95
	@	@	becoming	49	19	0.95	-	250.2	84	71	0.97
	bed	NoC	%	500	19	0.96	+	10477.9	95	71	0.91
	@	@	bed	476	19	0.96	+	11643.1	74	71	0.90
	@	@	beds	24	19	0.92	+	3.4	21	69	0.91
	before	Adv	%	294	19	0.98	+	3709.9	91	71	0.96
	before	Conj	:	534	19	0.97	+	3513.1	244	71	0.97
	before	Prep	:	460	19	0.97	+	0.0	459	71	0.97
	begin	Verb	%	721	19	0.97	+	2541.6	417	71	0.94
	@	@	began	482	19	0.97	+	3682.0	205	71	0.88
	@	@	begin	69	19	0.95	-	37.3	83	71	0.96
	@	@	beginning	97	19	0.95	+	599.9	46	71	0.97
	@	@	begins	15	19	0.90	-	310.5	40	71	0.95
	@	@	begun	58	19	0.95	+	58.3	44	71	0.95
	behind	Prep	:	480	19	0.97	+	6449.1	142	71	0.96
	believe	Verb	%	439	19	0.97	+	449.6	332	71	0.96
	@	@	believe	329	19	0.96	+	1488.1	175	71	0.94
	@	@	believed	85	19	0.96	-	6.3	91	71	0.96
	@	@	believes	10	19	0.90	-	797.7	51	71	0.92
	@	@	believing	16	19	0.94	+	1.3	15	71	0.94
	benefit	NoC	%	20	19	0.92	-	3991.3	191	71	0.93
	@	@	benefit	16	19	0.92	-	1584.2	95	71	0.91
	@	@	benefits	4	18	0.82	-	2551.0	96	71	0.94
	beside	Prep	:	220	19	0.97	+	6936.7	22	71	0.93
	better	Adv	:	244	19	0.96	+	1668.0	109	71	0.96
	between	Prep	:	458	19	0.98	-	7413.3	1101	71	0.96
	big	Adj	%	390	19	0.94	+	583.0	277	71	0.92
	@	@	big	341	19	0.94	+	1334.2	191	71	0.93
	@	@	bigger	33	19	0.93	+	3.5	31	71	0.93
	@	@	biggest	16	19	0.92	-	608.0	56	70	0.89
	bit*	NoC	%	215	19	0.93	+	2260.1	76	71	0.92
	@	@	bit	172	19	0.94	+	2041.0	56	71	0.92
	@	@	bits	43	19	0.90	+	271.1	20	70	0.89
	black	Adj	%	376	19	0.98	+	1741.9	199	71	0.94
	@	@	black	374	19	0.98	+	1709.1	198	71	0.93
	@	@	blacker	2	16	0.83	+	35.0	0	19	0.79
	@	@	blackest	1	12	0.78	+	14.0	0	23	0.79
	blue	Adj	:	209	19	0.96	+	2778.4	62	71	0.94
	board	NoC	%	91	19	0.62	-	948.7	188	71	0.93
	@	@	board	76	19	0.57	-	735.0	154	71	0.93
	@	@	boards	14	19	0.84	-	218.7	34	71	0.88
	body	NoC	%	443	19	0.96	+	577.1	322	71	0.96
	@	@	bodies	57	19	0.92	-	114.2	80	71	0.95
	@	@	body	387	19	0.95	+	1021.8	243	71	0.95
	book	NoC	%	280	19	0.92	-	690.3	409	71	0.94
	@	@	book	170	19	0.93	-	597.0	266	71	0.94
	@	@	books	110	19	0.92	-	126.9	143	71	0.93
	both	Adv	:	185	19	0.97	-	3384.1	466	71	0.97
	both	DetP	:	281	19	0.97	-	138.9	335	71	0.98
	boy	NoC	%	452	19	0.93	+	5318.4	148	71	0.93
	@	@	boy	340	19	0.92	+	6272.0	75	71	0.92
	@	@	boys	112	19	0.91	+	254.9	73	71	0.92
	break	Verb	%	282	19	0.98	+	748.6	177	71	0.96
	@	@	break	73	19	0.96	+	89.4	54	71	0.96
	@	@	breaking	38	19	0.96	+	36.4	29	71	0.95
	@	@	breaks	7	19	0.89	-	46.6	12	70	0.94
	@	@	broke	102	19	0.95	+	841.1	42	71	0.92
