	Word	PoS	FrIm		LL		FrIn

	she	Pron	13891	+	475282.1	1140
	I	Pron	17216	+	323569.4	3719
	he	Pron	16475	+	260201.4	4240
	you	Pron	12794	+	247719.1	2674
	her*	Det	7893	+	227730.3	930
	~n't	Neg	7183	+	184002.4	1036
	her	Pron	4334	+	160981.2	286
	of*	Prep	18997	-	122912.6	34244
	him	Pron	4927	+	111990.9	845
	said	Verb	5387	+	102711.8	1145
	had	Verb	9558	+	100954.0	3366
	is	Verb	4078	-	98451.5	11484
	his	Det	9463	+	98011.4	3375
	was	Verb	15782	+	89362.9	7707
	me	Pron	3703	+	87658.3	601
	's	Verb	4754	+	84044.2	1096
	the	Det	51846	-	60053.2	67675
	in	Prep	12667	-	53631.3	20612
	do	Verb	4312	+	50145.7	1422
	did	Verb	3011	+	49688.6	743
	'll	VMod	1568	+	47727.7	167
	'm	Verb	1526	+	46376.6	163
	it	Pron	13751	+	44861.6	8145
	my	Det	3284	+	44749.5	960
	eyes	NoC	1233	+	44487.1	88
	looked	Verb	1335	+	44322.1	118
	by	Prep	2568	-	42966.6	6250
	are	Verb	2062	-	41686.0	5399
	know	Verb	2021	+	40946.7	401
	'd (=had)	Verb	1085	+	39177.2	78
	that	DetP	4821	+	38534.3	2001
	has	Verb	863	-	37335.6	3186
	what	DetP	3840	+	36613.1	1443
	which	DetP	1689	-	34975.1	4464
	yes	Int	873	+	31021.7	65
	're	Verb	1303	+	30433.0	215
	no	Int	864	+	30344.4	66
	've	Verb	1309	+	29872.2	223
	oh	Int	730	+	29725.2	36
	face	NoC	1014	+	29261.6	119
	back	Adv	1824	+	29081.1	465
	door	NoC	903	+	29059.0	85
	could	VMod	3159	+	27055.4	1263
	thought	Verb	1231	+	26802.5	223
	knew	Verb	897	+	25343.8	110
	herself	Pron	707	+	25103.7	53
	'd (=would)	VMod	859	+	25050.1	99
	then	Adv	2661	+	23481.6	1046
	think	Verb	1384	+	22358.6	349
	like	Prep	2041	+	22010.1	709
	also	Adv	352	-	21968.0	1581
	got	Verb	1192	+	21495.0	269
	up	Adv	2989	+	20931.3	1327
	down	Adv	1688	+	20723.2	535
	voice	NoC	671	+	20529.8	71
	government	NoC	48	-	20464.5	819
	will	VMod	1185	-	19879.4	2887
	may	VMod	326	-	19751.2	1440
	tell	Verb	806	+	19651.9	125
	smiled	Verb	385	+	19076.3	7
	man	NoC	1433	+	18739.4	433
	there	Adv	1195	+	18278.6	317
	felt	Verb	841	+	17906.8	157
	as	Prep	791	-	17621.8	2154
	turned	Verb	764	+	17169.7	133
	go	Verb	1404	+	16798.0	454
	head	NoC	953	+	16717.5	221
	asked	Verb	908	+	16581.0	202
	sat	Verb	471	+	16517.9	36
	room	NoC	843	+	15858.8	182
	seemed	Verb	736	+	15858.8	135
	going*	Verb	1119	+	15802.6	318
	as if	Conj	555	+	15781.1	67
	again	Adv	1193	+	15754.9	357
	or	Conj	2246	-	15730.2	4135
	away	Adv	915	+	15449.8	221
	here	Adv	1272	+	15090.7	414
	just	Adv	1843	+	14934.0	759
	went	Verb	1020	+	14909.6	281
	why	Adv	1025	+	14721.3	287
