	PoS	Freq
	NN1	121078
	II	58283
	JJ	56336
	AT	53690
	NN2	41320
	RR	35332
	NP1	31867
	CC	30572
	VVI	29047
	AT1	22274
	IO	22267
	VVN	20753
	VV0	19876
	PPIS1	18977
	VBZ	18781
	VVD	17978
	VM	17464
	PPH1	17059
	UH	16380
	TO	15687
	PPY	15538
	MC	15146
	DD1	14340
	VVG	13252
	APPGE	12759
	XX	12071
	FU	11573
	RP	10545
	CS	10323
	PPHS1	9885
	VBDZ	8102
	IF	7664
	DDQ	7392
	VBR	7342
	PPIS2	7059
	VVZ	6897
	RT	6821
	PPHS2	6549
	CST	6424
	NNT1	6301
	VBI	6298
	VH0	6046
	IW	5900
	CCB	5258
	RG	5026
	RL	4802
	PN1	4522
	VD0	4297
	GE	3788
	MD	3501
	ZZ1	3442
	DB	3420
	DD	3255
	RRQ	3212
	VHD	3189
	VHZ	3161
	VBDR	3020
	EX	2924
	MC1	2897
	NN	2896
	VHI	2693
	DD2	2472
	PPHO2	2430
	VDD	2383
	NNU	2247
	VBN	2212
	NNB	2192
	NNT2	2163
	PPHO1	2132
	CSA	2081
	PPIO1	1984
	PNQS	1916
	VBM	1846
	DA	1772
	JJR	1674
	VDI	1484
	VVGK	1190
	NNL1	1155
	DA2	1061
	VDZ	1032
	RRR	1000
	NPM1	958
	DAR	904
	NNO	851
	PPIO2	846
	CSN	812
	JJT	751
	PPX1	720
	VBG	700
	RGR	695
	NPD1	685
	FW	665
	DA1	632
	VDN	618
	VDG	582
	CSW	542
	RGQ	501
	RA	496
	VHN	457
	NNU1	428
	VHG	410
	DAT	382
	VMK	366
	RGT	362
	ND1	356
	MCMC	356
	PPX2	335
	PN	321
	PPGE	318
	NNU2	311
	REX	309
	DB2	293
	MC2	286
	JK	276
	DDQV	217
	MF	178
	NP2	155
	DDQGE	127
	NNO2	111
	VB0	103
	BCL	94
	RRT	83
	PNQO	72
	RRQV	67
	ZZ2	65
	NNL2	63
	RPK	34
	NPD2	30
	VVNK	24
	NP	23
	RGQV	22
	NNA	15
	PNQV	14
	PNX1	3
