	PoS	FrSp		LL	FrWr
	NN1	89193	-	16762.3	152639
	JJ	36979	-	13395.5	75496
	II	44809	-	6200.5	71619
	AT	39031	-	7997.4	68200
	NN2	25432	-	12373.6	57048
	NP1	14469	-	19819.2	49089
	CC	28484	-	281.3	32638
	IO	13406	-	7156.3	31039
	RR	42555	+	2928.9	28183
	VVN	16641	-	1618.1	24824
	AT1	20015	-	452.5	24510
	VVI	33705	+	1477.6	24437
	VVD	13558	-	2165.4	22352
	TO	16144	+	26.3	15234
	APPGE	10393	-	870.6	15101
	MC	15575	+	24.0	14721
	VM	20781	+	1248.7	14181
	VVG	12950	-	13.6	13551
	VBZ	26524	+	6472.7	11117
	VV0	28729	+	8037.5	11113
	IF	6284	-	492.7	9030
	PPH1	25899	+	9462.6	8308
	VBDZ	7920	-	8.1	8282
	CS	12630	+	1023.5	8040
	DD1	20945	+	6215.9	7802
	PPHS1	12139	+	1020.9	7655
	VVZ	6289	-	106.0	7500
	IW	4580	-	588.2	7208
	VBI	5554	-	173.7	7034
	RP	14260	+	2632.6	6867
	PPIS1	31379	+	17304.1	6701
	CST	6482	+	1.1	6366
	XX	18067	+	6127.3	6135
	NNT1	6507	+	13.3	6097
	GE	1813	-	2137.1	5743
	VBR	9316	+	1057.7	5388
	DDQ	9476	+	1172.6	5329
	PPY	26531	+	16894.5	4656
	RT	9034	+	1439.0	4631
	CCB	6289	+	400.2	4238
	MD	2939	-	178.4	4057
	NNU	553	-	2841.8	3924
	RG	6186	+	531.9	3878
	PPHS2	9468	+	2651.6	3660
	VHD	2824	-	82.4	3550
	NNB	993	-	1367.7	3378
	VBDR	2736	-	52.7	3301
	PPIS2	10880	+	4292.0	3277
	RL	6519	+	1234.6	3103
	NN	2693	-	28.1	3097
	VH0	9180	+	3356.2	2944
	VHZ	3436	+	47.2	2889
	DD	3722	+	132.4	2793
	CSA	1383	-	471.0	2772
	DB	4091	+	260.7	2757
	MC1	3124	+	35.0	2673
	VBN	1883	-	97.1	2538
	NNT2	1920	-	53.9	2403
	DD2	2567	+	7.2	2378
	PN1	6802	+	2369.5	2264
	DA	1292	-	259.7	2247
	EX	3642	+	350.8	2213
	JJR	1280	-	184.4	2063
	PNQS	1768	-	22.3	2061
	RRQ	4380	+	854.9	2056
	NNL1	381	-	1120.7	1921
	PPHO1	2374	+	54.3	1892
	VHI	3651	+	685.9	1745
	ZZ1	5212	+	1878.6	1690
	PPHO2	3350	+	702.7	1520
	NPM1	468	-	518.3	1443
	PPIO1	2617	+	405.3	1357
	DA2	836	-	95.4	1285
	FW	89	-	1176.6	1235
	VD0	7395	+	4875.5	1230
	UH	31705	+	35177.8	1210
	RRR	892	-	22.8	1106
	VDD	3702	+	1520.1	1077
	RGR	356	-	340.8	1031
	JJT	485	-	190.3	1014
	CSN	644	-	69.4	979
	PPX1	518	-	113.1	919
	DAR	912	+	0.2	895
	VBG	558	-	57.0	840
	PPIO2	984	+	44.9	708
	MCMC	0	-	974.3	707
	VBM	3060	+	1706.9	644
	ND1	119	-	339.7	590
	RGT	133	-	308.4	589
	DA1	694	+	12.3	570
	VDI	2474	+	1414.8	505
	RA	490	-	0.1	502
	DAT	266	-	69.6	496
	NPD1	891	+	123.7	482
	VDZ	1588	+	621.2	482
	NNO	1232	+	348.5	474
	REX	164	-	141.2	454
	PPX2	277	-	20.5	394
	DB2	209	-	48.0	376
	MC2	221	-	29.5	351
	CSW	740	+	145.0	347
	NNU2	283	-	5.0	339
	VHG	486	+	27.4	336
	JK	289	+	1.2	263
	FU	23010	+	29404.6	252
	NP2	77	-	81.2	232
	RGQ	776	+	314.0	229
	VDN	1012	+	534.6	228
	PN	419	+	59.2	225
	VHN	701	+	269.0	216
	DDQGE	46	-	108.2	206
	NNU1	669	+	282.6	190
	VVGK	2214	+	2051.1	176
	VDG	1011	+	693.3	158
	BCL	31	-	90.0	156
	NNO2	79	-	19.3	144
	PPGE	500	+	215.7	139
	PNQO	16	-	98.0	128
	VB0	84	-	7.1	122
	MF	234	+	35.9	122
	NNL2	4	-	136.7	121
	DDQV	325	+	110.8	110
	RRT	58	-	16.0	109
	VMK	644	+	467.4	91
	RRQV	65	-	0.2	70
	ZZ2	91	+	20.2	40
	RPK	27	-	2.4	40
	NNA	0	-	41.3	30
	RGQV	16	-	3.2	28
	NPD2	35	+	1.8	25
	VVNK	26	+	0.6	21
	NP	33	+	9.2	13
	PNX1	0	-	8.3	6
	PNQV	23	+	15.0	4
