	PoS	FrDe		LL	FrCg
	UH	48244	+	8915.3	15268
	PPHS1	20333	+	5946.7	3995
	NN1	72212	-	3204.1	106071
	NN2	16512	-	3148.9	34297
	AT	27949	-	3142.9	50046
	PPIS1	40640	+	2729.6	22175
	IO	7723	-	2450.1	19053
	XX	23767	+	1800.1	12402
	CST	3278	-	1631.2	9667
	FU	17087	-	1519.0	28897
	II	36784	-	1423.2	52785
	MC	10893	-	1408.5	20229
	ZZ1	2624	-	1323.5	7783
	PPHO1	4022	+	1236.9	737
	PPH1	31325	+	1127.0	20507
	VVD	17237	+	994.5	9902
	NP1	18270	+	994.2	10691
	PPIS2	7788	-	877.7	13953
	RP	17784	+	865.9	10757
	PPY	31165	+	800.7	21925
	VD0	9815	+	793.9	4989
	VV0	33417	+	756.1	24071
	VBZ	30857	+	699.9	22217
	JJ	33182	-	384.7	40753
	PPIO1	3607	+	377.0	1634
	NN	1711	-	361.0	3669
	CC	25392	-	331.3	31558
	NNB	448	-	312.5	1536
	RL	7928	+	302.2	5118
	MF	4	-	297.2	463
	PPGE	848	+	263.8	153
	VDD	4690	+	262.3	2721
	CSA	812	-	239.3	1950
	VBI	4402	-	236.8	6698
	TO	14181	-	235.7	18095
	AT1	17885	-	223.8	22133
	NPD1	1320	+	211.7	465
	PPHS2	10886	+	209.9	8059
	NNO	788	-	161.7	1674
	PPHO2	4084	+	159.7	2620
	DD	2948	-	159.4	4490
	VVZ	7292	+	158.3	5291
	VBM	3724	+	142.7	2401
	PN1	7792	+	142.3	5818
	DA2	502	-	134.9	1167
	RGR	144	-	133.7	568
	REX	34	-	115.0	292
	EX	3007	-	109.5	4273
	DD2	2035	-	109.3	3095
	IF	5524	-	90.8	7040
	PPIO2	695	-	85.2	1272
	VHZ	3963	+	79.9	2912
	DD1	22212	+	75.5	19685
	RR	44356	+	75.0	40766
	MC1	2643	-	73.4	3603
	NNT1	7193	+	71.4	5825
	VVN	15584	-	66.1	17691
	IW	4036	-	63.7	5120
	MD	2509	-	62.3	3367
	VVGK	2582	+	60.6	1848
	PPX2	150	-	59.4	403
	VHI	4111	+	57.1	3194
	RRQ	4866	+	53.3	3896
	VDZ	1879	+	52.9	1298
	RT	9714	+	50.4	8358
	JK	170	-	49.4	407
	VH0	9837	+	46.3	8527
	RGT	57	-	46.1	209
	DA	1049	-	45.3	1534
	BCL	0	-	42.8	62
	DB	4512	+	42.6	3673
	VBG	405	-	42.0	710
	DAT	164	-	39.8	368
	ND1	53	-	38.7	185
	CCB	6766	+	35.7	5814
	VDG	1201	+	35.1	823
	VDI	2764	+	33.6	2186
	MC2	136	-	33.4	306
	NNO2	30	-	31.5	127
	VHN	840	+	27.7	562
	ZZ2	43	-	26.7	139
	VDN	1177	+	26.3	849
	VBDZ	8369	+	25.1	7473
	PNQS	1557	-	24.9	1978
	VBN	1693	-	18.8	2071
	FW	49	-	18.6	129
	VBDR	2513	-	18.0	2959
	JJT	391	-	18.0	578
	VVNK	47	+	17.6	6
	CSW	626	-	17.4	853
	VMK	747	+	16.4	541
	NNT2	1746	-	15.6	2093
	GE	1978	+	14.9	1648
	CSN	547	-	14.5	741
	RRR	786	-	12.6	998
	NPM1	393	-	12.0	543
	RGQV	4	-	10.1	28
	CS	12988	+	10.0	12273
	RRT	34	-	9.4	81
	NNU1	593	-	8.5	745
	NNL1	324	-	8.3	437
	DAR	826	-	8.0	998
	DDQ	9754	+	8.0	9200
	VHD	2971	+	7.5	2679
	APPGE	10670	+	7.3	10117
	PNQO	6	-	6.7	26
	JJR	1191	-	6.1	1369
	VM	21141	+	6.1	20424
	NNL2	0	-	5.5	8
	RG	6004	-	5.2	6366
	RPK	16	-	4.5	38
	VB0	103	+	4.5	64
	VVI	34089	+	4.3	33323
	NNU	506	-	3.9	600
	DA1	743	+	3.4	646
	NPD2	45	+	2.4	26
	VBR	9167	-	2.3	9463
	DDQGE	57	+	2.3	36
	RA	462	-	1.6	517
	RRQV	55	-	1.5	74
	VVG	13090	+	1.5	12810
	PNQV	28	+	1.1	18
	NP	28	-	0.7	38
	NP2	83	+	0.5	70
	DB2	200	-	0.3	217
	NNU2	275	-	0.2	290
	RGQ	765	-	0.1	787
	DDQV	328	+	0.0	322
	PPX1	514	-	0.0	521
	VHG	486	+	0.0	485
	PN	419	+	0.0	419
