	PoS	FrIm		LL	FrIn
	PPIS1	20829	+	6748.9	2633
	PPY	15315	+	5506.1	1587
	VVD	44514	+	5379.6	15970
	PPHS1	19944	+	4579.0	4115
	NN2	33275	-	3225.5	63893
	MC	4849	-	2409.7	17563
	APPGE	26889	+	2310.5	11707
	UH	4540	+	2073.6	251
	JJ	53729	-	1956.6	81764
	IO	17589	-	1909.1	34912
	PPHO1	5823	+	1851.6	761
	NNU	63	-	1836.6	5036
	PPIO1	4598	+	1745.6	423
	XX	12160	+	1450.1	4400
	NN1	127590	-	1235.5	159852
	PN1	5622	+	1165.4	1297
	RP	12508	+	1157.5	5243
	VD0	3504	+	962.0	575
	VVN	16253	-	939.8	27292
	PPH1	13755	+	912.2	6739
	VBM	2208	+	854.4	194
	VV0	16892	+	783.5	9448
	VVI	32641	+	740.4	22075
	RL	6154	+	734.7	2225
	II	58430	-	734.1	75417
	AT	56039	-	654.3	71702
	VDD	2806	+	644.3	579
	VHD	6480	+	603.7	2706
	ZZ1	165	-	592.0	2128
	VBDZ	12397	+	534.8	7097
	RT	7414	+	430.5	3830
	NPM1	286	-	366.2	1776
	RRQ	3781	+	360.5	1560
	FU	854	+	324.2	78
	PPX1	1998	+	303.9	609
	PPHO2	2878	+	300.6	1129
	VVG	17406	+	297.8	12440
	NP1	42123	-	295.3	51095
	PPHS2	5693	+	292.8	3074
	VBI	4505	-	290.3	7762
	MCMC	40	-	284.3	900
	RR	33561	+	283.7	26634
	PPIS2	5023	+	241.9	2775
	MD	2431	-	210.9	4525
	NNL1	862	-	200.5	2226
	IF	6627	-	198.0	9722
	CCB	5885	+	170.5	3764
	VDI	1095	+	166.0	335
	PPGE	456	+	163.2	48
	VM	16986	+	153.2	13373
	VHZ	1721	-	153.1	3225
	VVGK	501	+	137.2	82
	MC2	27	-	131.9	444
	DD1	9662	+	121.3	7267
	NN	2024	-	118.1	3406
	PPIO2	1247	+	103.0	553
	REX	107	-	101.7	553
	RG	5086	+	101.6	3530
	FW	684	-	81.0	1394
	DA2	724	-	80.3	1446
	RGR	550	-	74.6	1170
	VB0	313	+	69.6	67
	RGT	250	-	67.5	686
	DD2	1662	-	67.4	2584
	PN	469	+	64.4	154
	ND1	259	-	64.1	686
	JJR	1417	-	63.7	2249
	RGQ	474	+	63.6	158
	BCL	9	-	62.5	198
	MF	0	-	61.7	157
	DB	3539	+	60.3	2531
	VDG	358	+	60.1	100
	CS	9349	+	59.2	7663
	CST	5269	-	56.9	6681
	AT1	22407	-	53.1	25116
	JJT	608	-	52.7	1131
	DAT	223	-	51.3	574
	VDZ	782	+	48.1	395
	GE	4791	-	47.5	6017
	NNO	223	-	44.9	546
	CC	30402	-	44.9	33282
	NNL2	13	-	40.6	152
	NPD1	241	-	40.3	551
	TO	13840	-	37.6	15636
	EX	2735	+	33.7	2063
	VMK	192	+	27.2	62
	DA	1801	-	26.9	2376
	NNU2	179	-	25.1	385
	RRR	1390	+	19.9	1024
	MC1	2284	-	16.9	2785
	VHI	2069	+	16.7	1651
	VDN	349	+	16.7	193
	VBN	2181	-	15.0	2641
	IW	6627	-	13.7	7375
	VBR	4893	-	13.4	5531
	JK	170	-	10.5	290
	DDQGE	125	-	10.2	229
	VHG	447	+	9.9	304
	DDQ	5760	+	9.9	5205
	PNQS	2319	+	9.1	1987
	NNA	4	-	8.9	37
	PPX2	505	+	8.5	362
	DDQV	170	+	8.5	93
	RPK	76	+	8.0	30
	RRT	58	-	7.9	124
	VBDR	3597	+	7.5	3216
	CSA	3043	+	7.5	2693
	NNT2	2163	-	7.1	2472
	NP	0	-	6.6	17
	VH0	3200	+	6.3	2870
	NNU1	130	-	6.0	207
	PNQV	13	+	5.0	1
	NNT1	6399	+	4.3	6010
	RRQV	40	-	4.1	78
	VVZ	7820	+	3.9	7407
	PNQO	170	+	3.7	116
	PNX1	0	-	3.0	8
	VHN	264	+	2.9	202
	NP2	188	-	2.5	245
	RA	438	-	2.4	520
	DA1	635	+	2.1	551
	VBG	764	-	2.0	862
	ZZ2	27	-	1.4	44
	DAR	840	-	1.0	911
	DB2	411	+	0.9	365
	NPD2	18	-	0.6	27
	VBZ	11239	+	0.4	11081
	RGQV	22	-	0.3	30
	NNB	3316	-	0.3	3396
	CSW	366	+	0.3	341
	DD	2744	-	0.2	2807
	NNO2	134	-	0.2	147
	CSN	965	-	0.1	983
	VVNK	22	+	0.0	21
